# Thứ tự hiển thị môn học: semester|courseCode|displayOrder
20251|IT3011|2
20251|IT4015|8
20251|JP3110|7
20251|IT3070|1
20251|IT4082|3
20251|IT3080|10
20251|IT4172|4
20251|IT3170|9
20251|JP2126|6
20251|IT3230|5
20251|IT4593|0
20252|JP2111|3
20252|IT4441|4
20252|JP2132|8
20252|IT3103|0
20252|JP3120|9
20252|IT4549|5
20252|IT3160|1
20252|IT3292|2
20252|MI1134|10
20252|IT3362|7
20252|IT5021|6
20261|JP2210|0
20261|IT4785|6
20261|IT4015|10
20261|IT3323|4
20261|JP3110|11
20261|IT3190|7
20261|IT4062|3
20261|IT3382|1
20261|IT5022|2
20261|JP2126|9
20261|IT4409|5
20261|IT4593|8
20262|SSH1141|1
20262|JP2220|2
20262|IT4125|0
20262|IT4653|3
20262|IT4930|4
